item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count,error
atlas_prime_systems_blueprint,2025-09-01T02:00:54+00:00,pc,,0.0,4.0,23.0,
ballistica_prime_blueprint,2025-09-01T02:00:55+00:00,pc,9.333,3.0,18.667,12.0,
ballistica_prime_lower_limb,2025-09-01T02:00:56+00:00,pc,,0.0,5.667,11.0,
ballistica_prime_receiver,2025-09-01T02:00:56+00:00,pc,3.0,1.0,5.333,9.0,
ballistica_prime_set,2025-09-01T02:00:57+00:00,pc,41.667,3.0,71.333,24.0,
ballistica_prime_string,2025-09-01T02:00:58+00:00,pc,7.0,1.0,17.0,6.0,
ballistica_prime_upper_limb,2025-09-01T02:00:59+00:00,pc,,0.0,16.333,5.0,
banshee_prime_blueprint,2025-09-01T02:00:59+00:00,pc,3.0,1.0,4.0,14.0,
banshee_prime_chassis_blueprint,2025-09-01T02:01:00+00:00,pc,10.0,2.0,31.333,10.0,
banshee_prime_neuroptics_blueprint,2025-09-01T02:01:01+00:00,pc,2.0,1.0,3.0,34.0,
banshee_prime_set,2025-09-01T02:01:01+00:00,pc,53.0,11.0,67.333,41.0,
banshee_prime_systems_blueprint,2025-09-01T02:01:02+00:00,pc,15.333,5.0,21.0,19.0,
baruuk_prime_blueprint,2025-09-01T02:01:03+00:00,pc,9.0,6.0,14.333,21.0,
baruuk_prime_chassis_blueprint,2025-09-01T02:01:04+00:00,pc,,0.0,2.667,27.0,
baruuk_prime_neuroptics_blueprint,2025-09-01T02:01:06+00:00,pc,13.667,6.0,19.0,19.0,
baruuk_prime_set,2025-09-01T02:01:06+00:00,pc,39.333,9.0,51.333,56.0,
baruuk_prime_systems_blueprint,2025-09-01T02:01:08+00:00,pc,1.667,3.0,5.0,17.0,
baza_prime_barrel,2025-09-01T02:01:08+00:00,pc,2.0,1.0,4.667,12.0,
baza_prime_blueprint,2025-09-01T02:01:09+00:00,pc,5.0,2.0,16.667,7.0,
baza_prime_receiver,2025-09-01T02:01:10+00:00,pc,3.0,1.0,4.333,6.0,
baza_prime_set,2025-09-01T02:01:11+00:00,pc,62.0,8.0,79.333,15.0,
baza_prime_stock,2025-09-01T02:01:11+00:00,pc,27.333,6.0,48.0,3.0,
bo_prime_blueprint,2025-09-01T02:01:14+00:00,pc,,0.0,13.0,11.0,
bo_prime_handle,2025-09-01T02:01:15+00:00,pc,10.0,2.0,15.0,12.0,
bo_prime_ornament,2025-09-01T02:01:16+00:00,pc,13.667,3.0,27.667,13.0,
bo_prime_set,2025-09-01T02:01:16+00:00,pc,60.0,10.0,82.0,18.0,
boar_prime_barrel,2025-09-01T02:01:17+00:00,pc,,0.0,17.0,10.0,
boar_prime_blueprint,2025-09-01T02:01:18+00:00,pc,5.0,2.0,9.333,16.0,
boar_prime_receiver,2025-09-01T02:01:19+00:00,pc,5.0,1.0,20.0,7.0,
boar_prime_set,2025-09-01T02:01:20+00:00,pc,75.0,9.0,91.667,30.0,
boar_prime_stock,2025-09-01T02:01:20+00:00,pc,35.667,7.0,48.0,14.0,
boltor_prime_barrel,2025-09-01T02:01:21+00:00,pc,,0.0,13.0,6.0,
boltor_prime_blueprint,2025-09-01T02:01:22+00:00,pc,13.0,1.0,18.667,14.0,
boltor_prime_receiver,2025-09-01T02:01:23+00:00,pc,,0.0,7.333,11.0,
boltor_prime_set,2025-09-01T02:01:24+00:00,pc,35.0,5.0,60.0,23.0,
boltor_prime_stock,2025-09-01T02:01:24+00:00,pc,,0.0,12.667,8.0,
braton_prime_barrel,2025-09-01T02:01:25+00:00,pc,2.0,1.0,1.333,18.0,
