item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
soaring_strike,2025-08-12T21:40:56Z,,0,80.0,4,pc,8
pummel,2025-08-12T21:40:57Z,,0,4.333,15,pc,8
velocitus_stock,2025-08-12T21:40:58Z,2.0,1,9.333,10,pc,58
rathbone_handle,2025-08-12T21:40:58Z,4.667,3,9.667,10,pc,47
rathbone_head,2025-08-12T21:40:59Z,4.333,3,14.667,7,pc,54
latron_wraith_barrel,2025-08-12T21:41:00Z,3.0,2,37.5,2,pc,63
heated_charge,2025-08-12T21:41:01Z,,0,1.333,26,pc,10
system_reroute,2025-08-12T21:41:01Z,44.333,4,7.667,25,pc,33
gorgon_wraith_receiver,2025-08-12T21:41:02Z,,0,4.0,11,pc,32
calculated_shot,2025-08-12T21:41:03Z,,0,58.333,4,pc,7
vigor,2025-08-12T21:41:04Z,,0,4.667,30,pc,46
hikou_prime_pouch,2025-08-12T21:41:05Z,4.0,1,8.333,10,pc,156
reaper_prime_blueprint,2025-08-12T21:41:06Z,2.0,1,10.0,9,pc,64
arcane_thrak_helmet,2025-08-12T21:41:06Z,,0,178.333,7,pc,10
primed_point_blank,2025-08-12T21:41:07Z,105.333,8,33.333,37,pc,136
power_of_three,2025-08-12T21:41:08Z,,0,9.0,18,pc,10
rhino_prime_neuroptics_blueprint,2025-08-12T21:41:09Z,6.667,3,15.0,15,pc,255
disarming_purity,2025-08-12T21:41:10Z,,0,19.333,7,pc,8
gorgon_wraith_stock,2025-08-12T21:41:11Z,,0,3.667,8,pc,34
ballistica_prime_string,2025-08-12T21:41:12Z,5.0,1,8.0,18,pc,69
crossing_snakes,2025-08-12T21:41:13Z,,0,2.0,34,pc,43
rejuvenation,2025-08-12T21:41:14Z,,0,10.0,14,pc,26
dig,2025-08-12T21:41:15Z,,0,5.0,12,pc,8
shredder,2025-08-12T21:41:16Z,,0,4.667,9,pc,8
continuous_misery,2025-08-12T21:41:17Z,,0,3.0,16,pc,11
vasto_prime_set,2025-08-12T21:41:18Z,5.0,1,21.333,33,pc,226
arcane_avalon_helmet,2025-08-12T21:41:19Z,,0,358.0,5,pc,8
thermite_rounds,2025-08-12T21:41:20Z,3.0,1,14.667,38,pc,291
arcane_flux_helmet,2025-08-12T21:41:21Z,,0,266.333,5,pc,12
telos_akbolto,2025-08-12T21:41:21Z,5.0,1,25.0,7,pc,82
arcane_aura_helmet,2025-08-12T21:41:22Z,,0,295.0,6,pc,10
sancti_castanas,2025-08-12T21:41:23Z,8.333,3,41.333,4,pc,90
rift_strike,2025-08-12T21:41:23Z,3.0,1,5.0,13,pc,21
vulcan_blitz,2025-08-12T21:41:24Z,3.0,1,6.333,9,pc,17
arcane_gambit_helmet,2025-08-12T21:41:25Z,50.0,1,254.667,7,pc,8
arcane_chlora_helmet,2025-08-12T21:41:26Z,52.0,1,282.333,6,pc,11
arcane_esprit_helmet,2025-08-12T21:41:26Z,,0,233.333,7,pc,7
