set_url,platform,part_url,quantity_for_set,unit_cost_latest,buy_med_latest,sell_med_latest,sell_depth_med_latest,latest_date_part,unit_cost_source
atlas_prime_set,pc,atlas_prime_neuroptics_blueprint,1,45.333,45.333,54.0,11.0,2025-09-18 00:00:00+00:00,BUY
atlas_prime_set,pc,atlas_prime_systems_blueprint,1,4.667,,4.667,16.0,2025-09-18 00:00:00+00:00,SELL
ballistica_prime_set,pc,ballistica_prime_blueprint,1,8.0,8.0,23.833,7.0,2025-09-18 00:00:00+00:00,BUY
ballistica_prime_set,pc,ballistica_prime_lower_limb,1,2.75,2.75,7.5,9.0,2025-09-18 00:00:00+00:00,BUY
ballistica_prime_set,pc,ballistica_prime_receiver,1,4.8335,,4.8335,14.0,2025-09-18 00:00:00+00:00,SELL
ballistica_prime_set,pc,ballistica_prime_string,1,4.25,4.25,10.333,8.0,2025-09-18 00:00:00+00:00,BUY
ballistica_prime_set,pc,ballistica_prime_upper_limb,1,3.5,3.5,9.3335,6.5,2025-09-18 00:00:00+00:00,BUY
banshee_prime_set,pc,banshee_prime_blueprint,1,4.667,,4.667,21.0,2025-09-18 00:00:00+00:00,SELL
banshee_prime_set,pc,banshee_prime_chassis_blueprint,1,16.667,16.667,28.667,8.0,2025-09-18 00:00:00+00:00,BUY
banshee_prime_set,pc,banshee_prime_neuroptics_blueprint,1,2.0,2.0,4.0,16.0,2025-09-18 00:00:00+00:00,BUY
banshee_prime_set,pc,banshee_prime_systems_blueprint,1,15.0,15.0,24.0,13.0,2025-09-18 00:00:00+00:00,BUY
baruuk_prime_set,pc,baruuk_prime_blueprint,1,9.0,9.0,17.333,8.0,2025-09-18 00:00:00+00:00,BUY
baruuk_prime_set,pc,baruuk_prime_chassis_blueprint,1,2.333,,2.333,19.0,2025-09-18 00:00:00+00:00,SELL
baruuk_prime_set,pc,baruuk_prime_neuroptics_blueprint,1,15.0,15.0,27.0,7.0,2025-09-18 00:00:00+00:00,BUY
baruuk_prime_set,pc,baruuk_prime_systems_blueprint,1,3.0,3.0,4.667,11.0,2025-09-18 00:00:00+00:00,BUY
baza_prime_set,pc,baza_prime_barrel,1,5.0,,5.0,15.0,2025-09-18 00:00:00+00:00,SELL
baza_prime_set,pc,baza_prime_blueprint,1,3.5,3.5,12.5,11.5,2025-09-18 00:00:00+00:00,BUY
baza_prime_set,pc,baza_prime_receiver,1,2.0,2.0,5.0,8.5,2025-09-18 00:00:00+00:00,BUY
baza_prime_set,pc,baza_prime_stock,1,17.1665,17.1665,36.3335,9.5,2025-09-18 00:00:00+00:00,BUY
bo_prime_set,pc,bo_prime_blueprint,1,5.1665,5.1665,15.1665,12.5,2025-09-18 00:00:00+00:00,BUY
bo_prime_set,pc,bo_prime_handle,1,6.8335,6.8335,12.1665,17.0,2025-09-18 00:00:00+00:00,BUY
bo_prime_set,pc,bo_prime_ornament,2,13.3335,13.3335,26.0,15.5,2025-09-18 00:00:00+00:00,BUY
boar_prime_set,pc,boar_prime_barrel,1,10.5,10.5,21.8335,20.0,2025-09-18 00:00:00+00:00,BUY
boar_prime_set,pc,boar_prime_blueprint,1,5.0,5.0,10.833,18.0,2025-09-18 00:00:00+00:00,BUY
boar_prime_set,pc,boar_prime_receiver,1,7.3335,7.3335,15.8335,24.0,2025-09-18 00:00:00+00:00,BUY
boar_prime_set,pc,boar_prime_stock,1,37.6665,37.6665,50.0,21.5,2025-09-18 00:00:00+00:00,BUY
boltor_prime_set,pc,boltor_prime_barrel,1,4.4165,4.4165,9.5,10.5,2025-09-18 00:00:00+00:00,BUY
boltor_prime_set,pc,boltor_prime_blueprint,1,13.75,13.75,23.8335,11.0,2025-09-18 00:00:00+00:00,BUY
boltor_prime_set,pc,boltor_prime_receiver,1,4.0,4.0,8.833,16.0,2025-09-18 00:00:00+00:00,BUY
boltor_prime_set,pc,boltor_prime_stock,1,3.0835,3.0835,8.6665,14.0,2025-09-18 00:00:00+00:00,BUY
