item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count
banshee_prime_neuroptics_blueprint,2025-10-01T01:53:53+00:00,pc,2.0,1,3.0,10
banshee_prime_set,2025-10-01T01:53:54+00:00,pc,52.667,3,70.0,24
banshee_prime_systems_blueprint,2025-10-01T01:53:54+00:00,pc,8.0,2,32.0,3
baruuk_prime_blueprint,2025-10-01T01:53:55+00:00,pc,8.667,4,14.667,11
baruuk_prime_chassis_blueprint,2025-10-01T01:53:56+00:00,pc,2.0,1,3.667,16
baruuk_prime_neuroptics_blueprint,2025-10-01T01:53:57+00:00,pc,13.0,5,28.0,10
baruuk_prime_set,2025-10-01T01:53:58+00:00,pc,41.667,7,58.333,27
baruuk_prime_systems_blueprint,2025-10-01T01:53:58+00:00,pc,2.0,1,11.0,3
baza_prime_barrel,2025-10-01T01:53:59+00:00,pc,,0,5.667,6
baza_prime_blueprint,2025-10-01T01:53:59+00:00,pc,5.0,1,11.0,9
baza_prime_receiver,2025-10-01T01:54:00+00:00,pc,,0,4.667,8
baza_prime_set,2025-10-01T01:54:01+00:00,pc,47.0,5,79.333,10
baza_prime_stock,2025-10-01T01:54:01+00:00,pc,18.0,3,35.667,4
bo_prime_blueprint,2025-10-01T01:54:02+00:00,pc,,0,18.333,6
bo_prime_handle,2025-10-01T01:54:03+00:00,pc,,0,22.333,6
bo_prime_ornament,2025-10-01T01:54:03+00:00,pc,20.0,1,46.333,4
bo_prime_set,2025-10-01T01:54:05+00:00,pc,80.0,11,90.0,14
boar_prime_barrel,2025-10-01T01:54:05+00:00,pc,3.0,1,10.667,8
boar_prime_blueprint,2025-10-01T01:54:06+00:00,pc,,0,8.333,20
boar_prime_receiver,2025-10-01T01:54:07+00:00,pc,3.0,2,11.667,16
boar_prime_set,2025-10-01T01:54:07+00:00,pc,63.667,9,73.0,36
boar_prime_stock,2025-10-01T01:54:08+00:00,pc,12.5,2,27.667,16
boltor_prime_barrel,2025-10-01T01:54:09+00:00,pc,,0,9.5,2
boltor_prime_blueprint,2025-10-01T01:54:09+00:00,pc,5.0,1,18.0,6
boltor_prime_receiver,2025-10-01T01:54:10+00:00,pc,,0,8.333,11
boltor_prime_set,2025-10-01T01:54:11+00:00,pc,30.0,2,60.0,14
boltor_prime_stock,2025-10-01T01:54:12+00:00,pc,3.0,1,9.667,6
braton_prime_barrel,2025-10-01T01:54:12+00:00,pc,,0,4.667,3
braton_prime_blueprint,2025-10-01T01:54:13+00:00,pc,,0,2.0,11
braton_prime_receiver,2025-10-01T01:54:14+00:00,pc,,0,2.333,11
braton_prime_set,2025-10-01T01:54:14+00:00,pc,6.0,7,5.667,31
braton_prime_stock,2025-10-01T01:54:15+00:00,pc,,0,1.667,13
bronco_prime_barrel,2025-10-01T01:54:16+00:00,pc,1.0,3,2.333,11
bronco_prime_blueprint,2025-10-01T01:54:16+00:00,pc,,0,3.667,9
bronco_prime_receiver,2025-10-01T01:54:17+00:00,pc,,0,2.0,9
bronco_prime_set,2025-10-01T01:54:18+00:00,pc,2.667,3,5.333,9
burston_prime_barrel,2025-10-01T01:54:19+00:00,pc,,0,4.0,14
burston_prime_blueprint,2025-10-01T01:54:20+00:00,pc,,0,3.0,6
burston_prime_receiver,2025-10-01T01:54:20+00:00,pc,,0,2.667,14
burston_prime_set,2025-10-01T01:54:21+00:00,pc,5.667,4,8.333,21
burston_prime_stock,2025-10-01T01:54:22+00:00,pc,,0,2.667,9
caliban_prime_blueprint,2025-10-01T01:54:22+00:00,pc,4.5,2,7.333,23
caliban_prime_chassis_blueprint,2025-10-01T01:54:23+00:00,pc,2.0,1,3.0,25
caliban_prime_neuroptics_blueprint,2025-10-01T01:54:24+00:00,pc,8.667,4,12.0,21
caliban_prime_set,2025-10-01T01:54:25+00:00,pc,60.667,9,70.0,25
caliban_prime_systems_blueprint,2025-10-01T01:54:25+00:00,pc,20.0,5,33.333,11
carrier_prime_blueprint,2025-10-01T01:54:26+00:00,pc,2.0,1,9.333,8
carrier_prime_carapace,2025-10-01T01:54:27+00:00,pc,6.5,2,21.667,3
carrier_prime_cerebrum,2025-10-01T01:54:27+00:00,pc,20.0,4,49.0,4
carrier_prime_set,2025-10-01T01:54:28+00:00,pc,65.0,2,89.333,11
carrier_prime_systems,2025-10-01T01:54:29+00:00,pc,,0,7.0,9
cedo_prime_barrel,2025-10-01T01:54:30+00:00,pc,2.0,1,4.667,15
cedo_prime_blueprint,2025-10-01T01:54:30+00:00,pc,7.333,4,10.0,21
cedo_prime_receiver,2025-10-01T01:54:31+00:00,pc,1.5,2,6.0,6
cedo_prime_set,2025-10-01T01:54:32+00:00,pc,17.333,5,28.667,37
cedo_prime_stock,2025-10-01T01:54:33+00:00,pc,,0,3.0,11
cernos_prime_blueprint,2025-10-01T01:54:33+00:00,pc,,0,5.667,9
cernos_prime_grip,2025-10-01T01:54:34+00:00,pc,,0,8.0,9
cernos_prime_lower_limb,2025-10-01T01:54:34+00:00,pc,,0,32.333,7
cernos_prime_set,2025-10-01T01:54:35+00:00,pc,37.0,3,67.333,16
cernos_prime_string,2025-10-01T01:54:36+00:00,pc,4.0,1,9.0,9
cernos_prime_upper_limb,2025-10-01T01:54:37+00:00,pc,,0,13.333,3
chroma_prime_blueprint,2025-10-01T01:54:37+00:00,pc,3.0,1,7.667,12
chroma_prime_chassis_blueprint,2025-10-01T01:54:38+00:00,pc,3.5,2,5.333,20
chroma_prime_neuroptics_blueprint,2025-10-01T01:54:39+00:00,pc,15.0,6,27.667,6
chroma_prime_set,2025-10-01T01:54:40+00:00,pc,48.667,8,59.0,55
chroma_prime_systems_blueprint,2025-10-01T01:54:40+00:00,pc,7.0,3,16.667,9
cobra_and_crane_prime_blade,2025-10-01T01:54:41+00:00,pc,,0,5.0,9
cobra_and_crane_prime_blueprint,2025-10-01T01:54:42+00:00,pc,,0,3.0,7
cobra_and_crane_prime_guard,2025-10-01T01:54:42+00:00,pc,6.0,1,13.0,8
cobra_and_crane_prime_hilt,2025-10-01T01:54:43+00:00,pc,,0,4.667,8
cobra_and_crane_prime_set,2025-10-01T01:54:44+00:00,pc,11.667,3,19.667,21
corinth_prime_barrel,2025-10-01T01:54:44+00:00,pc,19.667,4,40.0,8
corinth_prime_blueprint,2025-10-01T01:54:45+00:00,pc,,0,5.0,6
corinth_prime_receiver,2025-10-01T01:54:46+00:00,pc,,0,5.0,6
corinth_prime_set,2025-10-01T01:54:46+00:00,pc,32.0,3,77.667,18
corinth_prime_stock,2025-10-01T01:54:47+00:00,pc,5.0,2,15.667,4
corvas_prime_barrel,2025-10-01T01:54:48+00:00,pc,16.333,5,39.667,5
corvas_prime_blueprint,2025-10-01T01:54:48+00:00,pc,4.0,1,11.667,6
corvas_prime_receiver,2025-10-01T01:54:49+00:00,pc,,0,7.333,6
corvas_prime_set,2025-10-01T01:54:50+00:00,pc,31.0,5,48.333,16
corvas_prime_stock,2025-10-01T01:54:50+00:00,pc,10.0,1,5.667,4
daikyu_prime_blueprint,2025-10-01T01:54:51+00:00,pc,,0,2.0,12
daikyu_prime_grip,2025-10-01T01:54:52+00:00,pc,5.0,1,12.333,9
daikyu_prime_lower_limb,2025-10-01T01:54:53+00:00,pc,,0,3.667,11
daikyu_prime_set,2025-10-01T01:54:54+00:00,pc,20.0,1,26.333,26
daikyu_prime_string,2025-10-01T01:54:54+00:00,pc,,0,4.333,13
daikyu_prime_upper_limb,2025-10-01T01:54:55+00:00,pc,,0,4.333,11
dakra_prime_blade,2025-10-01T01:54:56+00:00,pc,,0,9.0,15
dakra_prime_blueprint,2025-10-01T01:54:56+00:00,pc,,0,5.667,16
dakra_prime_handle,2025-10-01T01:54:57+00:00,pc,,0,5.0,8
dakra_prime_set,2025-10-01T01:54:58+00:00,pc,15.0,1,20.667,35
destreza_prime_blade,2025-10-01T01:54:59+00:00,pc,20.333,4,46.667,4
destreza_prime_blueprint,2025-10-01T01:54:59+00:00,pc,,0,4.0,11
destreza_prime_handle,2025-10-01T01:55:00+00:00,pc,,0,9.0,7
destreza_prime_set,2025-10-01T01:55:01+00:00,pc,,0,61.0,17
dethcube_prime_blueprint,2025-10-01T01:55:01+00:00,pc,12.5,2,23.667,5
dethcube_prime_carapace,2025-10-01T01:55:02+00:00,pc,,0,5.0,15
dethcube_prime_cerebrum,2025-10-01T01:55:03+00:00,pc,29.0,7,44.333,5
dethcube_prime_set,2025-10-01T01:55:04+00:00,pc,70.0,8,90.0,14
dethcube_prime_systems,2025-10-01T01:55:05+00:00,pc,5.0,1,8.0,13
dual_kamas_prime_blade,2025-10-01T01:55:05+00:00,pc,22.5,2,41.333,5
dual_kamas_prime_blueprint,2025-10-01T01:55:06+00:00,pc,,0,20.0,3
