item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count,error
acceltra_prime_barrel,2025-11-01T01:52:36+00:00,pc,5.0,1.0,8.0,15.0,
acceltra_prime_blueprint,2025-11-01T01:52:36+00:00,pc,,0.0,3.0,16.0,
acceltra_prime_receiver,2025-11-01T01:52:37+00:00,pc,1.0,1.0,3.0,16.0,
acceltra_prime_set,2025-11-01T01:52:38+00:00,pc,16.333,5.0,19.0,43.0,
acceltra_prime_stock,2025-11-01T01:52:39+00:00,pc,5.0,1.0,10.0,16.0,
afuris_prime_barrel,2025-11-01T01:52:39+00:00,pc,2.0,1.0,3.333,9.0,
afuris_prime_blueprint,2025-11-01T01:52:41+00:00,pc,,0.0,3.333,10.0,
afuris_prime_link,2025-11-01T01:52:42+00:00,pc,2.0,1.0,3.0,9.0,
afuris_prime_receiver,2025-11-01T01:52:42+00:00,pc,25.0,7.0,35.0,9.0,
afuris_prime_set,2025-11-01T01:52:43+00:00,pc,43.333,5.0,83.333,22.0,
akarius_prime_barrel,2025-11-01T01:52:44+00:00,pc,3.0,1.0,3.667,9.0,
akarius_prime_blueprint,2025-11-01T01:52:45+00:00,pc,7.0,3.0,8.333,21.0,
akarius_prime_link,2025-11-01T01:52:46+00:00,pc,1.333,3.0,3.667,13.0,
akarius_prime_receiver,2025-11-01T01:52:47+00:00,pc,7.333,4.0,11.667,12.0,
akarius_prime_set,2025-11-01T01:52:48+00:00,pc,40.333,14.0,40.0,34.0,
akbolto_prime_barrel,2025-11-01T01:52:49+00:00,pc,,0.0,7.333,14.0,
akbolto_prime_blueprint,2025-11-01T01:52:49+00:00,pc,,0.0,4.333,12.0,
akbolto_prime_link,2025-11-01T01:52:50+00:00,pc,,0.0,5.667,8.0,
akbolto_prime_receiver,2025-11-01T01:52:51+00:00,pc,12.667,4.0,21.667,11.0,
akbolto_prime_set,2025-11-01T01:52:52+00:00,pc,53.333,4.0,88.667,24.0,
akbronco_prime_blueprint,2025-11-01T01:52:53+00:00,pc,,0.0,2.333,9.0,
akbronco_prime_link,2025-11-01T01:52:55+00:00,pc,1.333,3.0,4.667,13.0,
akbronco_prime_set,2025-11-01T01:52:55+00:00,pc,,0.0,8.667,13.0,
akjagara_prime_barrel,2025-11-01T01:52:56+00:00,pc,13.0,3.0,25.667,5.0,
akjagara_prime_blueprint,2025-11-01T01:52:57+00:00,pc,,0.0,3.667,18.0,
akjagara_prime_link,2025-11-01T01:52:57+00:00,pc,,0.0,7.0,6.0,
akjagara_prime_receiver,2025-11-01T01:52:58+00:00,pc,,0.0,8.667,11.0,
akjagara_prime_set,2025-11-01T01:52:59+00:00,pc,68.667,6.0,99.333,19.0,
aklex_prime_blueprint,2025-11-01T01:53:00+00:00,pc,,0.0,7.0,18.0,
aklex_prime_link,2025-11-01T01:53:01+00:00,pc,24.0,6.0,41.667,12.0,
aklex_prime_set,2025-11-01T01:53:02+00:00,pc,,0.0,49.0,20.0,
akmagnus_prime_blueprint,2025-11-01T01:53:02+00:00,pc,8.0,1.0,18.0,12.0,
akmagnus_prime_link,2025-11-01T01:53:03+00:00,pc,9.0,2.0,14.0,20.0,
akmagnus_prime_set,2025-11-01T01:53:04+00:00,pc,29.333,9.0,42.667,27.0,
aksomati_prime_barrel,2025-11-01T01:53:05+00:00,pc,,0.0,9.333,6.0,
aksomati_prime_blueprint,2025-11-01T01:53:05+00:00,pc,,0.0,4.0,8.0,
aksomati_prime_link,2025-11-01T01:53:06+00:00,pc,21.667,5.0,41.333,6.0,
