item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count
acceltra_prime_barrel,2025-12-01T02:11:01+00:00,pc,6.333,5,8.0,13
acceltra_prime_blueprint,2025-12-01T02:11:02+00:00,pc,,0,2.0,18
acceltra_prime_receiver,2025-12-01T02:11:03+00:00,pc,,0,2.667,18
acceltra_prime_set,2025-12-01T02:11:04+00:00,pc,17.0,10,24.667,47
acceltra_prime_stock,2025-12-01T02:11:04+00:00,pc,6.667,4,18.0,10
afuris_prime_barrel,2025-12-01T02:11:05+00:00,pc,,0,3.667,10
afuris_prime_blueprint,2025-12-01T02:11:06+00:00,pc,,0,3.667,12
afuris_prime_link,2025-12-01T02:11:07+00:00,pc,,0,4.0,9
afuris_prime_receiver,2025-12-01T02:11:08+00:00,pc,25.0,8,35.0,9
afuris_prime_set,2025-12-01T02:11:09+00:00,pc,65.0,10,79.333,20
akarius_prime_barrel,2025-12-01T02:11:10+00:00,pc,1.0,1,5.0,12
akarius_prime_blueprint,2025-12-01T02:11:10+00:00,pc,6.667,7,7.0,21
akarius_prime_link,2025-12-01T02:11:11+00:00,pc,1.333,3,2.0,19
akarius_prime_receiver,2025-12-01T02:11:12+00:00,pc,7.333,9,9.0,13
akarius_prime_set,2025-12-01T02:11:12+00:00,pc,36.0,9,40.0,34
akbolto_prime_barrel,2025-12-01T02:11:13+00:00,pc,5.0,1,10.0,5
akbolto_prime_blueprint,2025-12-01T02:11:14+00:00,pc,,0,4.667,8
akbolto_prime_link,2025-12-01T02:11:15+00:00,pc,,0,8.0,6
akbolto_prime_receiver,2025-12-01T02:11:16+00:00,pc,20.0,9,57.5,2
akbolto_prime_set,2025-12-01T02:11:17+00:00,pc,68.333,6,88.333,14
akbronco_prime_blueprint,2025-12-01T02:11:17+00:00,pc,,0,2.0,14
akbronco_prime_link,2025-12-01T02:11:18+00:00,pc,2.0,2,2.333,16
akbronco_prime_set,2025-12-01T02:11:19+00:00,pc,2.0,1,7.333,15
akjagara_prime_barrel,2025-12-01T02:11:20+00:00,pc,15.667,8,19.667,9
akjagara_prime_blueprint,2025-12-01T02:11:20+00:00,pc,,0,13.333,3
akjagara_prime_link,2025-12-01T02:11:21+00:00,pc,3.333,3,6.0,5
akjagara_prime_receiver,2025-12-01T02:11:22+00:00,pc,6.333,5,9.0,8
akjagara_prime_set,2025-12-01T02:11:23+00:00,pc,63.667,9,101.333,11
aklex_prime_blueprint,2025-12-01T02:11:24+00:00,pc,,0,9.667,5
aklex_prime_link,2025-12-01T02:11:24+00:00,pc,30.0,14,48.333,8
aklex_prime_set,2025-12-01T02:11:25+00:00,pc,38.333,6,49.0,19
akmagnus_prime_blueprint,2025-12-01T02:11:26+00:00,pc,11.0,3,19.0,8
akmagnus_prime_link,2025-12-01T02:11:26+00:00,pc,10.0,1,17.667,10
